,ARI,Silhouette,Davies-Bouldin,Accuracy
K-Means,0.3288175471557227,0.49294403195381165,0.6930460859380502,0.5753858330035615
GMM,0.3502214024516534,0.4146881699562073,0.6680418589067406,0.5722200237435694
Spectral,0.3943815622466158,0.46616265177726746,0.6425728690019277,0.6102097348634745
